SYSTEM|volt1|вольт
SYSTEM|volt2|вольта
SYSTEM|volt5|вольт
SYSTEM|amp0|ампер
SYSTEM|amp1|ампер
SYSTEM|amp2|ампера
SYSTEM|amp5|ампер
SYSTEM|mamp0|миллиампер
SYSTEM|mamp1|миллиампер
SYSTEM|mamp2|миллиампера
SYSTEM|mamp5|миллиампер
SYSTEM|knot0|узлов
SYSTEM|knot1|узел
SYSTEM|knot2|узла
SYSTEM|knot5|узлов
SYSTEM|mps0|метров в секунду
SYSTEM|mps1|метр в секунду
SYSTEM|mps2|метра в секунду
SYSTEM|mps5|метров в секунду
SYSTEM|celsius0|градусов
SYSTEM|celsius1|градус
SYSTEM|celsius2|градуса
SYSTEM|celsius5|градусов
SYSTEM|db0|децибел
SYSTEM|db1|децибел
SYSTEM|db2|децибела
SYSTEM|db5|децибел
SYSTEM|degree0|градусов
SYSTEM|degree1|градус
SYSTEM|degree2|градуса
SYSTEM|degree5|градусов
SYSTEM|fahr0|градусов по фаренгейту
SYSTEM|fahr1|градус по фаренгейту
SYSTEM|fahr2|градуса по фаренгейту
SYSTEM|fahr5|градусов по фаренгейту
SYSTEM|foot0|футов
SYSTEM|foot1|фут
SYSTEM|foot2|фута
SYSTEM|foot5|футов
SYSTEM|founce0|унций
SYSTEM|founce1|унция
SYSTEM|founce2|унции
SYSTEM|founce5|унций
SYSTEM|fps0|футов в секунду
SYSTEM|fps1|фут в секунду
SYSTEM|fps2|фута в секунду
SYSTEM|fps5|футов в секунду
SYSTEM|g0|джи
SYSTEM|g1|джи
SYSTEM|g2|джи
SYSTEM|g5|джи
SYSTEM|hour0|часов
SYSTEM|hour1|час
SYSTEM|hour2|часа
SYSTEM|hour5|часов
SYSTEM|kph0|километров в час
SYSTEM|kph1|километр в час
SYSTEM|kph2|километра в час
SYSTEM|kph5|километров в час
SYSTEM|mamph0|миллиампер в час
SYSTEM|mamph1|миллиампер в час
SYSTEM|mamph2|миллиампера в час
SYSTEM|mamph5|миллиампер в час
SYSTEM|meter0|метров
SYSTEM|meter1|метр
SYSTEM|meter2|метра
SYSTEM|meter5|метров
SYSTEM|minute0|минут
SYSTEM|minute1|минута
SYSTEM|minute2|минуты
SYSTEM|minute5|минут
SYSTEM|ml0|миллилитров
SYSTEM|ml1|миллилитр
SYSTEM|ml2|миллилитра
SYSTEM|ml5|миллилитров
SYSTEM|mph0|миль в час
SYSTEM|mph1|миля в час
SYSTEM|mph2|мили в час
SYSTEM|mph5|миль в час
SYSTEM|mwatt0|милливатт
SYSTEM|mwatt1|милливатт
SYSTEM|mwatt2|милливатта
SYSTEM|mwatt5|милливатт
SYSTEM|percent0|процентов
SYSTEM|percent1|процент
SYSTEM|percent2|процента
SYSTEM|percent5|процентов
SYSTEM|radian0|радиан
SYSTEM|radian1|радиан
SYSTEM|radian2|радиана
SYSTEM|radian5|радиан
SYSTEM|rpm0|оборотов в минуту
SYSTEM|rpm1|оборот в минуту
SYSTEM|rpm2|оборота в минуту
SYSTEM|rpm5|оборотов в минуту
SYSTEM|second0|секунд
SYSTEM|second1|секунда
SYSTEM|second2|секунды
SYSTEM|second5|секунд
SYSTEM|watt0|ватт
SYSTEM|watt1|ватт
SYSTEM|watt2|ватта
SYSTEM|watt5|ватт
SYSTEM|eebad|Ошибка памяти
SYSTEM|hello|Таки здравствуйте!
SYSTEM|inactiv|Я тут! Про меня забыли!
SYSTEM|lowbatt|Аккумулятор разряжен
SYSTEM|maxtrim|Триммер максимум
SYSTEM|midtrim|Триммер по центру
SYSTEM|mintrim|Триммер минимум
SYSTEM|rssi_org|Слабый сигнал!
SYSTEM|rssi_red|Очень слабый сигнал!
SYSTEM|rxko|
SYSTEM|sensorko|Сенсор отключен
SYSTEM|servoko|
SYSTEM|swalert|Проверь тумблеры!
SYSTEM|swr_red|Проблемы с антенной передатчика!
SYSTEM|telemko|Потерян сигнал телеметрии
SYSTEM|telemok|Телеметрия восстановлена
SYSTEM|thralert|Убери газ!
SYSTEM|timovr1|Таймер 1. Время вышло
SYSTEM|timovr2|Таймер 2. Время вышло
SYSTEM|timovr3|Таймер 3. Время вышло
SYSTEM|trainko|Тренерский сигнал потерян
SYSTEM|trainok|Появился тренерский сигнал
SYSTEM|0180|одна
SYSTEM|0181|одиннадцать
SYSTEM|0182|двадцать одна
SYSTEM|0183|тридцать одна
SYSTEM|0184|сорок одна
SYSTEM|0185|пятьдесят одна
SYSTEM|0186|шестьдесят одна
SYSTEM|0187|семьдесят одна
SYSTEM|0188|восемьдесят одна
SYSTEM|0189|девяносто одна
SYSTEM|0190|две
SYSTEM|0191|двенадцать
SYSTEM|0192|двадцать две
SYSTEM|0193|тридцать две
SYSTEM|0194|сорок две
SYSTEM|0195|пятьдесят две
SYSTEM|0196|шестьдесят две
SYSTEM|0197|семьдесят две
SYSTEM|0198|восемьдесят две
SYSTEM|0199|девяносто две
SYSTEM|0200|тысяча
SYSTEM|0201|тысячи
SYSTEM|0202|тысяч
